Date,Quarter,Bank of America,Chase,Citibank,Wells Fargo,Total Assets,Big Four Assets,Share of Consolidated Assets
2003-09-30,Q3-2003,6.24723e+17,6.3812e+17,5.5454e+17,2.24376e+17,6.664665e+18,2.041759e+18, 30.64%
2003-12-31,Q4-2003,6.17962e+17,6.28662e+17,5.82123e+17,2.50474e+17,6.773933e+18,2.079221e+18, 30.69%
2004-03-31,Q1-2004,6.90573e+17,6.48692e+17,6.06191e+17,3.4756e+17,6.982157e+18,2.293016e+18, 32.84%
2004-06-30,Q2-2004,7.06888e+17,6.54641e+17,6.48243e+17,3.64698e+17,7.222725e+18,2.37447e+18, 32.87%
2004-09-30,Q3-2004,7.40695e+17,6.61772e+17,6.51345e+17,3.62973e+17,7.411606e+18,2.416785e+18, 32.61%
2004-12-31,Q4-2004,7.71619e+17,9.67365e+17,6.94529e+17,3.66256e+17,7.564783e+18,2.799769e+18, 37.01%
2005-03-31,Q1-2005,8.38258e+17,9.83049e+17,6.84592e+17,3.67427e+17,7.739072e+18,2.873326e+18, 37.13%
2005-06-30,Q2-2005,1.047537e+18,9.73113e+17,7.04855e+17,3.6412e+17,7.878834e+18,3.089625e+18, 39.21%
2005-09-30,Q3-2005,1.057298e+18,1.008426e+18,7.04616e+17,3.80109e+17,8.053903e+18,3.150449e+18, 39.12%
2005-12-31,Q4-2005,1.082243e+18,1.013985e+18,7.06497e+17,4.03258e+17,8.179646e+18,3.205983e+18, 39.19%
2006-03-31,Q1-2006,1.104944e+18,1.093394e+18,7.49335e+17,4.15802e+17,8.473557e+18,3.363475e+18, 39.69%
2006-06-30,Q2-2006,1.16026e+18,1.14468e+18,7.77345e+17,4.15859e+17,8.738815e+18,3.498144e+18, 40.03%
2006-09-30,Q3-2006,1.185581e+18,1.173732e+18,8.16362e+17,4.00807e+17,8.88437e+18,3.576482e+18, 40.26%
2006-12-31,Q4-2006,1.196124e+18,1.17939e+18,1.019497e+18,3.98671e+17,9.183279e+18,3.793682e+18, 41.31%
2007-03-31,Q1-2007,1.204472e+18,1.224104e+18,1.076949e+18,3.96847e+17,9.22243e+18,3.902372e+18, 42.31%
2007-06-30,Q2-2007,1.252402e+18,1.252369e+18,1.13284e+18,4.28724e+17,9.497053e+18,4.066335e+18, 42.82%
2007-09-30,Q3-2007,1.290376e+18,1.244049e+18,1.233325e+18,4.45446e+17,9.848614e+18,4.213196e+18, 42.78%
2007-12-31,Q4-2007,1.312794e+18,1.318888e+18,1.251715e+18,4.67861e+17,1.0218071e+19,4.351258e+18, 42.58%
2008-03-31,Q1-2008,1.355154e+18,1.407568e+18,1.292503e+18,4.86886e+17,1.0533442e+19,4.542111e+18, 43.12%
2008-06-30,Q2-2008,1.327429e+18,1.378468e+18,1.228445e+18,5.03327e+17,1.046123e+19,4.437669e+18, 42.42%
2008-09-30,Q3-2008,1.359071e+18,1.768657e+18,1.207007e+18,5.14853e+17,1.1123337e+19,4.849588e+18, 43.60%
2008-12-31,Q4-2008,1.471631e+18,1.746242e+18,1.22704e+18,5.38958e+17,1.1429425e+19,4.983871e+18, 43.61%
2009-03-31,Q1-2009,1.434037e+18,1.688164e+18,1.143561e+18,5.5217e+17,1.1120617e+19,4.817932e+18, 43.32%
2009-06-30,Q2-2009,1.45083e+18,1.663998e+18,1.1654e+18,5.39621e+17,1.1005253e+19,4.819849e+18, 43.80%
2009-09-30,Q3-2009,1.460147e+18,1.669868e+18,1.186754e+18,5.4769e+17,1.1050667e+19,4.864459e+18, 44.02%
2009-12-31,Q4-2009,1.465221e+18,1.627684e+18,1.161361e+18,6.08778e+17,1.1033875e+19,4.863044e+18, 44.07%
2010-03-31,Q1-2010,1.496322e+18,1.674523e+18,1.171094e+18,1.06589e+18,1.12822e+19,5.407829e+18, 47.93%
2010-06-30,Q2-2010,1.518958e+18,1.568093e+18,1.157877e+18,1.07328e+18,1.1171474e+19,5.318208e+18, 47.61%
2010-09-30,Q3-2010,1.489198e+18,1.642691e+18,1.209221e+18,1.070489e+18,1.1340392e+19,5.411599e+18, 47.72%
2010-12-31,Q4-2010,1.482278e+18,1.631621e+18,1.154293e+18,1.102278e+18,1.1280694e+19,5.37047e+18, 47.61%
2011-03-31,Q1-2011,1.451387e+18,1.72346e+18,1.161359e+18,1.09303e+18,1.1380528e+19,5.429236e+18, 47.71%
2011-06-30,Q2-2011,1.454051e+18,1.79106e+18,1.216291e+18,1.104833e+18,1.1593016e+19,5.566235e+18, 48.01%
