Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes
2043,3313943,480228,3/31/2020 0:00,Charter Discontinued,Merger,20200331,2020,"RECONTRUST COMPANY, NATIONAL ASSOCIATION",Bank of America,"RECONTRUST COMPANY, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
6997,1830035,480228,10/1/2014 0:00,Charter Discontinued,Merger,20141001,2014,"FIA CARD SERVICES, NATIONAL ASSOCIATION                                                                                 ",Bank of America,"FIA CARD SERVICES, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
8458,2867056,480228,4/1/2013 0:00,Charter Discontinued,Merger,20130401,2013,"BANK OF AMERICA OREGON, NATIONAL ASSOCIATION                                                                            ",Bank of America,"BANK OF AMERICA OREGON, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
8462,3344611,480228,4/1/2013 0:00,Charter Discontinued,Merger,20130401,2013,"BANK OF AMERICA RHODE ISLAND, NATIONAL ASSOCIATION                                                                      ",Bank of America,"BANK OF AMERICA RHODE ISLAND, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
10403,2496120,480228,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,MERRILL LYNCH CREDIT CORPORATION                                                                                        ,Bank of America,"MERRILL LYNCH CREDIT CORPORATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
10406,3035311,480228,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"BAC HOME LOANS SERVICING, LP                                                                                            ",Bank of America,"BAC HOME LOANS SERVICING, LP transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
11118,3241493,480228,10/1/2010 0:00,Charter Discontinued,Merger,20101001,2010,MERRILL LYNCH COMMERCIAL FINANCE CORP.                                                                                  ,Bank of America,"MERRILL LYNCH COMMERCIAL FINANCE CORP. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
11916,2577494,480228,11/2/2009 0:00,Charter Discontinued,Merger,20091102,2009,"MERRILL LYNCH BANK & TRUST CO., FSB",Bank of America,"MERRILL LYNCH BANK & TRUST CO., FSB transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
12313,1225800,480228,7/1/2009 0:00,Charter Discontinued,Merger,20090701,2009,MERRILL LYNCH BANK USA                                                                                                  ,Bank of America,"MERRILL LYNCH BANK USA transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
12472,1469211,480228,4/27/2009 0:00,Charter Discontinued,Merger,20090427,2009,"COUNTRYWIDE BANK, FSB",Bank of America,"COUNTRYWIDE BANK, FSB transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
13064,445843,480228,10/17/2008 0:00,Charter Discontinued,Merger,20081017,2008,LASALLE BANK MIDWEST NATIONAL ASSOCIATION ,Bank of America,"LASALLE BANK MIDWEST NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
13065,455534,480228,10/17/2008 0:00,Charter Discontinued,Merger,20081017,2008,LASALLE BANK NATIONAL ASSOCIATION,Bank of America,"LASALLE BANK NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
13386,2962652,480228,6/30/2008 0:00,Charter Discontinued,Merger,20080630,2008,"BANK OF AMERICA GEORGIA, NATIONAL ASSOCIATION                                                                           ",Bank of America,"BANK OF AMERICA GEORGIA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
13469,3081149,480228,5/30/2008 0:00,Charter Discontinued,Merger,20080530,2008,"USTRUST TECHNOLOGY AND SUPPORT SERVICES, INC.                                                                           ",Bank of America,"USTRUST TECHNOLOGY AND SUPPORT SERVICES, INC. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
13687,2333412,480228,2/22/2008 0:00,Charter Discontinued,Merger,20080222,2008,"UNITED STATES TRUST COMPANY, NATIONAL ASSOCIATION",Bank of America,"UNITED STATES TRUST COMPANY, NATIONAL ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
15325,2621379,480228,9/22/2006 0:00,Charter Discontinued,Merger,20060922,2006,MBNA,Bank of America,"MBNA AMERICA (DELAWARE), N.A. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION."
16666,76201,480228,6/13/2005 0:00,Charter Discontinued,Purchase/Acquisition,20050613,2005,FLEETBOSTON FINANCIAL,Bank of America,"FLEETBOSTON FINANCIAL transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION."
17744,1102004,480228,6/30/2004 0:00,Charter Discontinued,Merger,20040630,2004,"BANK OF AMERICA TECHNOLOGY AND OPERATIONS, INC.                                                                         ",Bank of America,"BANK OF AMERICA TECHNOLOGY AND OPERATIONS, INC. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
18312,1638709,480228,12/31/2003 0:00,Charter Discontinued,Merger,20031231,2003,FLEETWOOD CREDIT CORP.                                                                                                  ,Bank of America,"FLEETWOOD CREDIT CORP. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
18317,2019220,480228,12/31/2003 0:00,Charter Discontinued,Merger,20031231,2003,"BANC OF AMERICA SPECIALITY FINANCE, INC.                                                                                ",Bank of America,"BANC OF AMERICA SPECIALITY FINANCE, INC. transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
18318,2033404,480228,12/31/2003 0:00,Charter Discontinued,Merger,20031231,2003,SEA RAY CREDIT CORPORATION                                                                                              ,Bank of America,"SEA RAY CREDIT CORPORATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
18319,2033422,480228,12/31/2003 0:00,Charter Discontinued,Merger,20031231,2003,WINNEBAGO ACCEPTANCE CORPORATION                                                                                        ,Bank of America,"WINNEBAGO ACCEPTANCE CORPORATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
19073,2858625,480228,4/15/2003 0:00,Charter Discontinued,Merger,20030415,2003,"BA MORTGAGE, LLC                                                                                                        ",Bank of America,"BA MORTGAGE, LLC transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
21392,2234386,480228,5/31/2001 0:00,Charter Discontinued,Merger,20010531,2001,NATIONSBANK TRUST COMPANY OF NEW YORK                                                                                   ,Bank of America,"NATIONSBANK TRUST COMPANY OF NEW YORK transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
23660,5377,480228,12/2/1999 0:00,Charter Discontinued,Merger,19991202,1999,"BANK OF AMERICA, FSB ",Bank of America,"BANK OF AMERICA, FSB transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
24254,349361,480228,7/23/1999 0:00,Charter Discontinued,Merger,19990723,1999,BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION,Bank of America,"BANK OF AMERICA NATIONAL TRUST AND SAVINGS ASSOCIATION transferred its assets to one or more institutions including BANK OF AMERICA, NATIONAL ASSOCIATION. "
24657,1858507,480228,4/9/1999 0:00,Charter Discontinued,Merger,19990409,1999,"BANK OF AMERICA TEXAS, N.A.",Bank of America,"BANK OF AMERICA TEXAS, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
25410,116237,480228,11/13/1998 0:00,Charter Discontinued,Merger,19981113,1998,"NATIONSBANK OF TENNESSEE, N.A.",Bank of America,"NATIONSBANK OF TENNESSEE, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
25535,182232,480228,10/9/1998 0:00,Charter Discontinued,Merger,19981009,1998,"BARNETT BANK, NATIONAL ASSOCIATION",Bank of America,"BARNETT BANK, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
25541,1165269,480228,10/9/1998 0:00,Charter Discontinued,Merger,19981009,1998,COMMUNITY BANK OF THE ISLANDS ,Bank of America,"COMMUNITY BANK OF THE ISLANDS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
