Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes,Link,Value
318,4114567,852218,5/1/2023 0:00,Failure,Not Applicable,20230501,2023,FIRST REPUBLIC BANK                                                                                                     ,Chase,FIRST REPUBLIC BANK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities.,,
1108,3179318,852218,12/31/2021 0:00,Charter Discontinued,Merger,20211231,2021,ONE MORTGAGE PARTNERS CORP.                                                                                             ,Chase,"ONE MORTGAGE PARTNERS CORP. transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
2372,3118474,852218,10/20/2019 0:00,Charter Discontinued,Merger,20191020,2019,J.P. MORGAN TREASURY TECHNOLOGIES CORPORATION                                                                           ,Chase,"J.P. MORGAN TREASURY TECHNOLOGIES CORPORATION transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
2620,489913,852218,5/19/2019 0:00,Charter Discontinued,Merger,20190519,2019,"CHASE BANK USA, NATIONAL ASSOCIATION                                                                                    ",Chase,"CHASE BANK USA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
2621,1451364,852218,5/19/2019 0:00,Charter Discontinued,Merger,20190519,2019,"CHASE BANKCARD SERVICES, INC.                                                                                           ",Chase,"CHASE BANKCARD SERVICES, INC. transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
2622,4515472,852218,5/19/2019 0:00,Charter Discontinued,Merger,20190519,2019,"BLOOMSPOT, INC.                                                                                                         ",Chase,"BLOOMSPOT, INC. transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
6000,3812165,852218,9/1/2015 0:00,Charter Discontinued,Merger,20150901,2015,"JPMORGAN BANK AND TRUST COMPANY, NATIONAL ASSOCIATION                                                                   ",Chase,"JPMORGAN BANK AND TRUST COMPANY, NATIONAL ASSOCIATION transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
10125,931319,852218,10/14/2011 0:00,Charter Discontinued,Merger,20111014,2011,CUSTODIAL TRUST COMPANY                                                                                                 ,Chase,"CUSTODIAL TRUST COMPANY transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
10167,1042137,852218,10/1/2011 0:00,Charter Discontinued,Merger,20111001,2011,CHASE AUTO FINANCE CORP.                                                                                                ,Chase,"CHASE AUTO FINANCE CORP. transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
10171,1390137,852218,10/1/2011 0:00,Charter Discontinued,Merger,20111001,2011,J.P. MORGAN INVESTOR SERVICES CO.                                                                                       ,Chase,"J.P. MORGAN INVESTOR SERVICES CO. transferred its assets to one or more institutions including JPMORGAN CHASE BANK, NATIONAL ASSOCIATION. ",,
