Quarter,Bank,Assets,Numeric_Quarter,Quarter_Ordinal
q3-2003,Chase,638000000000.0,2003.75,1
q4-2003,Chase,629000000000.0,2004.0,2
q1-2004,Chase,649000000000.0,2004.25,3
q2-2004,Chase,655000000000.0,2004.5,4
q3-2004,Chase,662000000000.0,2004.75,5
q4-2004,Chase,967000000000.0,2005.0,6
q1-2005,Chase,983000000000.0,2005.25,7
q2-2005,Chase,973000000000.0,2005.5,8
q3-2005,Chase,1010000000000.0,2005.75,9
q4-2005,Chase,1010000000000.0,2006.0,10
q1-2006,Chase,1090000000000.0,2006.25,11
q2-2006,Chase,1140000000000.0,2006.5,12
q3-2006,Chase,1170000000000.0,2006.75,13
q4-2006,Chase,1180000000000.0,2007.0,14
q1-2007,Chase,1220000000000.0,2007.25,15
q2-2007,Chase,1250000000000.0,2007.5,16
q3-2007,Chase,1240000000000.0,2007.75,17
q4-2007,Chase,1320000000000.0,2008.0,18
q1-2008,Chase,1410000000000.0,2008.25,19
q2-2008,Chase,1380000000000.0,2008.5,20
q3-2008,Chase,1770000000000.0,2008.75,21
q4-2008,Chase,1750000000000.0,2009.0,22
q1-2009,Chase,1690000000000.0,2009.25,23
q2-2009,Chase,1660000000000.0,2009.5,24
q3-2009,Chase,1670000000000.0,2009.75,25
q4-2009,Chase,1630000000000.0,2010.0,26
q1-2010,Chase,1670000000000.0,2010.25,27
q2-2010,Chase,1570000000000.0,2010.5,28
q3-2010,Chase,1640000000000.0,2010.75,29
q4-2010,Chase,1630000000000.0,2011.0,30
q1-2011,Chase,1720000000000.0,2011.25,31
q2-2011,Chase,1790000000000.0,2011.5,32
q3-2011,Chase,1830000000000.0,2011.75,33
q4-2011,Chase,1810000000000.0,2012.0,34
q1-2012,Chase,1840000000000.0,2012.25,35
q2-2012,Chase,1810000000000.0,2012.5,36
q3-2012,Chase,1850000000000.0,2012.75,37
q4-2012,Chase,1900000000000.0,2013.0,38
q1-2013,Chase,1950000000000.0,2013.25,39
q2-2013,Chase,1950000000000.0,2013.5,40
q3-2013,Chase,1990000000000.0,2013.75,41
q4-2013,Chase,1950000000000.0,2014.0,42
q1-2014,Chase,1970000000000.0,2014.25,43
q2-2014,Chase,2000000000000.0,2014.5,44
q3-2014,Chase,2010000000000.0,2014.75,45
q4-2014,Chase,2070000000000.0,2015.0,46
q1-2015,Chase,2100000000000.0,2015.25,47
q2-2015,Chase,1970000000000.0,2015.5,48
q3-2015,Chase,1950000000000.0,2015.75,49
q4-2015,Chase,1910000000000.0,2016.0,50
q1-2016,Chase,2020000000000.0,2016.25,51
q2-2016,Chase,2050000000000.0,2016.5,52
q3-2016,Chase,2120000000000.0,2016.75,53
q4-2016,Chase,2080000000000.0,2017.0,54
q1-2017,Chase,2140000000000.0,2017.25,55
