Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes
9503,1027143,451965,2/1/2012 0:00,Charter Discontinued,Merger,20120201,2012,"WELLS FARGO AUTO FINANCE, LLC",Wells Fargo,"WELLS FARGO AUTO FINANCE, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10341,2575052,451965,7/15/2011 0:00,Charter Discontinued,Merger,20110715,2011,"FIRST UNION FINANCIAL INVESTMENTS, LLC",Wells Fargo,"FIRST UNION FINANCIAL INVESTMENTS, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10344,3536537,451965,7/15/2011 0:00,Charter Discontinued,Merger,20110715,2011,WES HOLDING CORPORATION,Wells Fargo,"WES HOLDING CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10398,1079544,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,SOUTHTRUST MORTGAGE CORPORATION,Wells Fargo,"SOUTHTRUST MORTGAGE CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10399,1117660,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,MERIDIAN MORTGAGE CORPORATION,Wells Fargo,"MERIDIAN MORTGAGE CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10410,3144576,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO FINANCIAL MISSISSIPPI 2, INC.",Wells Fargo,"WELLS FARGO FINANCIAL MISSISSIPPI 2, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10411,3144585,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO FINANCIAL MISSISSIPPI, INC.",Wells Fargo,"WELLS FARGO FINANCIAL MISSISSIPPI, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10415,3431100,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO DEALER SERVICES, INC.",Wells Fargo,"WELLS FARGO DEALER SERVICES, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10419,3846478,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO TRADE CAPITAL, LLC",Wells Fargo,"WELLS FARGO TRADE CAPITAL, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10501,1073560,451965,5/6/2011 0:00,Charter Discontinued,Merger,20110506,2011,WACHOVIA MORTGAGE CORPORATION,Wells Fargo,"WACHOVIA MORTGAGE CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
