Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name
9503,1027143,451965,2/1/2012 0:00,Charter Discontinued,Merger,20120201,2012,"WELLS FARGO AUTO FINANCE, LLC                                                                                           ",Wells Fargo
10341,2575052,451965,7/15/2011 0:00,Charter Discontinued,Merger,20110715,2011,"FIRST UNION FINANCIAL INVESTMENTS, LLC                                                                                  ",Wells Fargo
10344,3536537,451965,7/15/2011 0:00,Charter Discontinued,Merger,20110715,2011,WES HOLDING CORPORATION                                                                                                 ,Wells Fargo
10398,1079544,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,SOUTHTRUST MORTGAGE CORPORATION                                                                                         ,Wells Fargo
10399,1117660,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,MERIDIAN MORTGAGE CORPORATION                                                                                           ,Wells Fargo
10410,3144576,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO FINANCIAL MISSISSIPPI 2, INC.                                                                               ",Wells Fargo
10411,3144585,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO FINANCIAL MISSISSIPPI, INC.                                                                                 ",Wells Fargo
10415,3431100,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO DEALER SERVICES, INC.                                                                                       ",Wells Fargo
10419,3846478,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO TRADE CAPITAL, LLC                                                                                          ",Wells Fargo
10501,1073560,451965,5/6/2011 0:00,Charter Discontinued,Merger,20110506,2011,WACHOVIA MORTGAGE CORPORATION                                                                                           ,Wells Fargo
10630,89162,451965,3/31/2011 0:00,Charter Discontinued,Merger,20110331,2011,WELLS FARGO CENTRAL BANK                                                                                                ,Wells Fargo
10684,3308332,451965,3/1/2011 0:00,Charter Discontinued,Merger,20110301,2011,"WACHOVIA HOLDINGS, INC.                                                                                                 ",Wells Fargo
10819,2876133,451965,1/1/2011 0:00,Charter Discontinued,Merger,20110101,2011,"WACHOVIA SHARED RESOURCES, LLC                                                                                          ",Wells Fargo
10851,761374,451965,12/31/2010 0:00,Charter Discontinued,Purchase/Acquisition,20101231,2010,"WACHOVIA FINANCIAL SERVICES, INC.                                                                                       ",Wells Fargo
10977,3184590,451965,11/6/2010 0:00,Charter Discontinued,Merger,20101106,2010,"WELLS FARGO RETAIL FINANCE, LLC                                                                                         ",Wells Fargo
11009,3223695,451965,11/1/2010 0:00,Charter Discontinued,Merger,20101101,2010,"WELLS FARGO ALASKA TRUST COMPANY, NATIONAL ASSOCIATION                                                                  ",Wells Fargo
11119,3252529,451965,10/1/2010 0:00,Charter Discontinued,Merger,20101001,2010,"METROPOLITAN WEST SECURITIES, LLC                                                                                       ",Wells Fargo
11203,2722856,451965,8/21/2010 0:00,Charter Discontinued,Merger,20100821,2010,WELLS FARGO EDUCATION FINANCE INC.                                                                                      ,Wells Fargo
11275,3308323,451965,7/15/2010 0:00,Charter Discontinued,Merger,20100715,2010,"CALIBRE ADVISORY SERVICES, INC.                                                                                         ",Wells Fargo
11425,2332808,451965,5/10/2010 0:00,Charter Discontinued,Merger,20100510,2010,"WELLS FARGO HSBC TRADE BANK, NATIONAL ASSOCIATION                                                                       ",Wells Fargo
11505,3550131,451965,4/10/2010 0:00,Charter Discontinued,Merger,20100410,2010,"WACHOVIA CARD SERVICES, NATIONAL ASSOCIATION                                                                            ",Wells Fargo
11558,484422,451965,3/20/2010 0:00,Charter Discontinued,Merger,20100320,2010,"WACHOVIA BANK, NATIONAL ASSOCIATION                                                                                     ",Wells Fargo
11561,1224812,451965,3/20/2010 0:00,Charter Discontinued,Merger,20100320,2010,"TENTH & SHIPLEY BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
11934,1157433,451965,11/1/2009 0:00,Charter Discontinued,Merger,20091101,2009,"NORTH LAS VEGAS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
12476,896566,451965,4/25/2009 0:00,Charter Discontinued,Merger,20090425,2009,"RICHMOND ROAD BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
12632,363956,451965,2/2/2009 0:00,Charter Discontinued,Merger,20090202,2009,"WELLS FARGO FINANCIAL BANK BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
12730,2383882,451965,1/1/2009 0:00,Charter Discontinued,Merger,20090101,2009,"WELLS FARGO BANK GRAND JUNCTION-DOWNTOWN, NATIONAL ASSOCIATION                                                          ",Wells Fargo
12731,2383903,451965,1/1/2009 0:00,Charter Discontinued,Merger,20090101,2009,"WELLS FARGO BANK GRAND JUNCTION, NATIONAL ASSOCIATION                                                                   ",Wells Fargo
12885,309758,451965,12/6/2008 0:00,Charter Discontinued,Purchase/Acquisition,20081206,2008,FARMERS STATE BANK OF FORT MORGAN                                                                                       ,Wells Fargo
13058,14258,451965,10/18/2008 0:00,Charter Discontinued,Merger,20081018,2008,"JACKSON TOWN SQUARE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
13059,20259,451965,10/18/2008 0:00,Charter Discontinued,Merger,20081018,2008,"PINEDALE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
13060,555658,451965,10/18/2008 0:00,Charter Discontinued,Merger,20081018,2008,"SHERIDAN MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
13061,884059,451965,10/18/2008 0:00,Charter Discontinued,Merger,20081018,2008,"CODY MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
13375,3446766,451965,7/1/2008 0:00,Charter Discontinued,Purchase/Acquisition,20080701,2008,"DRIGGS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
13633,1156539,451965,3/15/2008 0:00,Charter Discontinued,Merger,20080315,2008,"MID-PENINSULA BANK MAIN, COWPER BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
14140,33772,451965,9/22/2007 0:00,Charter Discontinued,Merger,20070922,2007,"DOWNTOWN AUBURN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
14538,3442290,451965,5/11/2007 0:00,Charter Discontinued,Merger,20070511,2007,COMMERCE FUNDING CORPORATION                                                                                            ,Wells Fargo
15323,625355,451965,9/23/2006 0:00,Charter Discontinued,Merger,20060923,2006,"CANON MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
15324,701651,451965,9/23/2006 0:00,Charter Discontinued,Merger,20060923,2006,"PUEBLO MESSENGER SERVICE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
15562,821951,451965,6/17/2006 0:00,Charter Discontinued,Merger,20060617,2006,"ROGERS SOUTH BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
16439,2328230,451965,9/24/2005 0:00,Charter Discontinued,Purchase/Acquisition,20050924,2005,"DIXIE FARM ROAD STORE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
16544,1146101,451965,8/1/2005 0:00,Charter Discontinued,Merger,20050801,2005,"WELLS FARGO BUSINESS CREDIT, INC.                                                                                       ",Wells Fargo
17861,1632332,451965,5/8/2004 0:00,Charter Discontinued,Merger,20040508,2004,"WELLS FARGO HOME MORTGAGE, INC.                                                                                         ",Wells Fargo
17920,882671,451965,4/24/2004 0:00,Charter Discontinued,Merger,20040424,2004,PACIFIC NORTHWEST BANK                                                                                                  ,Wells Fargo
17936,1120772,451965,4/16/2004 0:00,Charter Discontinued,Merger,20040416,2004,WELLS FARGO SERVICES COMPANY                                                                                            ,Wells Fargo
18093,49362,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"PHOENIX MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18094,239323,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"VAN WERT BRANCH [FLAGSTAR BANK, NATIONAL ASSOCIATION]",Wells Fargo
18096,352558,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"MARQUETTE DOWNTOWN BRANCH [FLAGSTAR BANK, NATIONAL ASSOCIATION]",Wells Fargo
18097,417448,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"INDIANA CENTER BRANCH [FLAGSTAR BANK, NATIONAL ASSOCIATION]",Wells Fargo
18098,428752,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO BANK SOUTH DAKOTA, NATIONAL ASSOCIATION                                                                     ",Wells Fargo
18099,599951,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"LOMAS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18100,655576,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"LAS VEGAS TOWER BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18101,660842,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"DOWNTOWN MB BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18102,794541,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"MILWAUKEE MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18103,928850,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"FARGO MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18104,985134,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"GALESBURG BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18105,995151,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO CENTER SKYWAY BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18397,559254,451965,12/6/2003 0:00,Charter Discontinued,Merger,20031206,2003,"MESA MALL BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18448,67852,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"CASPER DOWNTOWN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18449,68569,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"NORTHERN LIGHTS & C STREET BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18450,627555,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"BILLINGS DOWNTOWN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18451,723354,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"OMAHA MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18452,728854,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"DENVER MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18453,765756,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"THOUSAND OAKS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
