Date,Chase,Bank of America,Citibank,Wells Fargo,US Bank,Truist Bank,PNC,Quarter,Share of Consolidated Assets,Total Assets,Big 7 Assets
9/30/2003,6.38E+11,6.25E+11,5.55E+11,2.24E+11,1.86E+11,64157000000,65167000000,q3-2003,35.37382599,6.66E+12,2.36E+12
12/31/2003,6.29E+11,6.18E+11,5.82E+11,2.50E+11,1.89E+11,67584000000,62037000000,q4-2003,35.40042395,6.77E+12,2.40E+12
3/31/2004,6.49E+11,6.91E+11,6.06E+11,3.48E+11,1.92E+11,70840000000,67822000000,q1-2004,37.57125484,6.98E+12,2.62E+12
6/30/2004,6.55E+11,7.07E+11,6.48E+11,3.65E+11,1.90E+11,74890000000,67527000000,q2-2004,37.47372356,7.22E+12,2.71E+12
9/30/2004,6.62E+11,7.41E+11,6.51E+11,3.63E+11,1.92E+11,73700000000,71753000000,q3-2004,37.16726172,7.41E+12,2.75E+12
12/31/2004,9.67E+11,7.72E+11,6.95E+11,3.66E+11,1.94E+11,74479000000,73809000000,q4-2004,41.54109906,7.56E+12,3.14E+12
3/31/2005,9.83E+11,8.38E+11,6.85E+11,3.67E+11,1.98E+11,74375000000,75524000000,q1-2005,41.62090752,7.74E+12,3.22E+12
6/30/2005,9.73E+11,1.05E+12,7.05E+11,3.64E+11,2.03E+11,76719000000,82691000000,q2-2005,43.82010079,7.88E+12,3.45E+12
9/30/2005,1.01E+12,1.06E+12,7.05E+11,3.80E+11,2.07E+11,77639000000,84742000000,q3-2005,43.69927227,8.05E+12,3.52E+12
12/31/2005,1.01E+12,1.08E+12,7.06E+11,4.03E+11,2.09E+11,80227000000,82877000000,q4-2005,43.74216195,8.18E+12,3.58E+12
3/31/2006,1.09E+12,1.10E+12,7.49E+11,4.16E+11,2.09E+11,81169000000,84414000000,q1-2006,44.11368213,8.47E+12,3.74E+12
6/30/2006,1.14E+12,1.16E+12,7.77E+11,4.16E+11,2.13E+11,85215000000,85947000000,q2-2006,44.42089688,8.74E+12,3.88E+12
9/30/2006,1.17E+12,1.19E+12,8.16E+11,4.01E+11,2.16E+11,88815000000,87664000000,q3-2006,44.67231779,8.88E+12,3.97E+12
12/31/2006,1.18E+12,1.20E+12,1.02E+12,3.99E+11,2.18E+11,1.17E+11,90142000000,q4-2006,45.93958215,9.18E+12,4.22E+12
3/31/2007,1.22E+12,1.20E+12,1.08E+12,3.97E+11,2.20E+11,1.18E+11,90405000000,q1-2007,46.95817697,9.22E+12,4.33E+12
6/30/2007,1.25E+12,1.25E+12,1.13E+12,4.29E+11,2.21E+11,1.22E+11,93805000000,q2-2007,47.41643539,9.50E+12,4.50E+12
9/30/2007,1.24E+12,1.29E+12,1.23E+12,4.45E+11,2.26E+11,1.26E+11,1.20E+11,q3-2007,47.56980018,9.85E+12,4.68E+12
12/31/2007,1.32E+12,1.31E+12,1.25E+12,4.68E+11,2.33E+11,1.28E+11,1.25E+11,q4-2007,47.33278913,1.02E+13,4.84E+12
3/31/2008,1.41E+12,1.36E+12,1.29E+12,4.87E+11,2.37E+11,1.32E+11,1.29E+11,q1-2008,47.84683867,1.05E+13,5.04E+12
6/30/2008,1.38E+12,1.33E+12,1.23E+12,5.03E+11,2.42E+11,1.33E+11,1.28E+11,q2-2008,47.23353755,1.05E+13,4.94E+12
9/30/2008,1.77E+12,1.36E+12,1.21E+12,5.15E+11,2.43E+11,1.33E+11,1.35E+11,q3-2008,48.18815613,1.11E+13,5.36E+12
12/31/2008,1.75E+12,1.47E+12,1.23E+12,5.39E+11,2.62E+11,1.47E+11,1.41E+11,q4-2008,48.41807877,1.14E+13,5.53E+12
3/31/2009,1.69E+12,1.43E+12,1.14E+12,5.52E+11,2.59E+11,1.39E+11,1.40E+11,q1-2009,48.16050225,1.11E+13,5.36E+12
6/30/2009,1.66E+12,1.45E+12,1.17E+12,5.40E+11,2.60E+11,1.48E+11,1.36E+11,q2-2009,48.74332285,1.10E+13,5.36E+12
9/30/2009,1.67E+12,1.46E+12,1.19E+12,5.48E+11,2.60E+11,1.59E+11,1.47E+11,q3-2009,49.14137762,1.11E+13,5.43E+12
12/31/2009,1.63E+12,1.47E+12,1.16E+12,6.09E+11,2.76E+11,1.60E+11,2.60E+11,q4-2009,50.38489198,1.10E+13,5.56E+12
3/31/2010,1.67E+12,1.50E+12,1.17E+12,1.07E+12,2.78E+11,1.58E+11,2.55E+11,q1-2010,54.04538122,1.13E+13,6.10E+12
6/30/2010,1.57E+12,1.52E+12,1.16E+12,1.07E+12,2.78E+11,1.49E+11,2.51E+11,q2-2010,53.68089296,1.12E+13,6.00E+12
