Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name
2043,3313943,480228,3/31/2020 0:00,Charter Discontinued,Merger,20200331,2020,"TAPO CANYON BRANCH [BANK OF AMERICA, NATIONAL ASSOCIATION]",Bank of America
6997,1830035,480228,10/1/2014 0:00,Charter Discontinued,Merger,20141001,2014,"FIA CARD SERVICES, NATIONAL ASSOCIATION                                                                                 ",Bank of America
8458,2867056,480228,4/1/2013 0:00,Charter Discontinued,Merger,20130401,2013,"BANK OF AMERICA OREGON, NATIONAL ASSOCIATION                                                                            ",Bank of America
8462,3344611,480228,4/1/2013 0:00,Charter Discontinued,Merger,20130401,2013,"BANK OF AMERICA RHODE ISLAND, NATIONAL ASSOCIATION                                                                      ",Bank of America
10403,2496120,480228,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,MERRILL LYNCH CREDIT CORPORATION                                                                                        ,Bank of America
10406,3035311,480228,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"BAC HOME LOANS SERVICING, LP                                                                                            ",Bank of America
11118,3241493,480228,10/1/2010 0:00,Charter Discontinued,Merger,20101001,2010,MERRILL LYNCH COMMERCIAL FINANCE CORP.                                                                                  ,Bank of America
11916,2577494,480228,11/2/2009 0:00,Charter Discontinued,Merger,20091102,2009,"NEW YORK BRANCH [BANK OF AMERICA, NATIONAL ASSOCIATION]",Bank of America
12313,1225800,480228,7/1/2009 0:00,Charter Discontinued,Merger,20090701,2009,MERRILL LYNCH BANK USA                                                                                                  ,Bank of America
12472,1469211,480228,4/27/2009 0:00,Charter Discontinued,Merger,20090427,2009,"CHERRY CREEK BRANCH [BANK OF AMERICA, NATIONAL ASSOCIATION]",Bank of America
13064,445843,480228,10/17/2008 0:00,Charter Discontinued,Merger,20081017,2008,"PWM LASALLE MIDWEST BRANCH [BANK OF AMERICA, NATIONAL ASSOCIATION]",Bank of America
13065,455534,480228,10/17/2008 0:00,Charter Discontinued,Merger,20081017,2008,"FIELD BUILDING BRANCH, THE [BANK OF AMERICA, NATIONAL ASSOCIATION]",Bank of America
13386,2962652,480228,6/30/2008 0:00,Charter Discontinued,Merger,20080630,2008,"BANK OF AMERICA GEORGIA, NATIONAL ASSOCIATION                                                                           ",Bank of America
13469,3081149,480228,5/30/2008 0:00,Charter Discontinued,Merger,20080530,2008,"USTRUST TECHNOLOGY AND SUPPORT SERVICES, INC.                                                                           ",Bank of America
